Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,8,18.8593,-90,4
0.2,0,8,18.8593,-90,4
0.3,0,8,18.8593,-90,4
0.4,0,8,18.8593,-90,4
0.5,0,8,18.8593,-90,4
0.6,0,8,18.8593,-90,4
0.7,0,8,18.8593,-90,4
0.8,0,8,18.8593,-90,4
0.9,0,8,18.8593,-90,4
1,0,8,18.8593,-90,4
1.1,0,8,18.8593,-90,4
1.2,0,8,18.8593,-90,4
1.3,0,8,18.8593,-90,4
1.4,0,8,18.8593,-90,4
1.5,0,8,18.8593,-90,4
1.6,0,8,18.8593,-90,4
1.7,0,8,18.8593,-90,4
1.8,0,8,18.8593,-90,4
1.9,0,8,18.8593,-90,4
2,0,8,18.8593,-90,4
2.1,99.7382,8,18.8593,-90,4
2.2,99.9699,8,18.8304,-90,4
2.3,100.202,8,18.6546,-90,4
2.4,99.8541,8,18.3412,-90,4
2.5,100.086,8,17.911,-90,4
2.6,99.9699,8,17.3821,-90,4
2.7,99.9699,8,16.7705,-90,4
2.8,100.086,8,16.0901,-90,4
2.9,99.9699,8,15.3529,-90,4
3,100.086,8,14.5694,-90,4
3.1,99.8541,8,13.7487,-90,4
3.2,99.9699,8,12.8987,-90,4
3.3,99.9699,8,12.0259,-90,4
3.4,100.202,8,11.1363,-90,4
3.5,99.8541,8,10.2349,-90,4
3.6,99.9699,8,9.3257,-90,4
3.7,100.086,8,8.41253,-90,4
3.8,99.8541,8,7.49842,-90,4
3.9,100.086,8,6.58593,-90,4
4,100.086,8,5.67742,-90,4
4.1,27.2224,8,4.77468,-90,4
4.2,0,8,3.87922,-90,1
4.3,0,8,3.85189,-90,4
4.4,0,8,2.971,-90,4
4.5,0,8,2.11518,-90,4
4.6,0,8,1.24854,-90,4
4.7,0,8,0.393162,-90,4
4.8,0,8,-0.468074,-90,4
4.9,0,8,-1.28186,-90,4
5,0,8,-2.10079,-90,4
5.1,0,1,-1.57166,-90,5
5.2,0,1,-0.885007,-90,5
5.3,0,1,-0.236443,-90,5
5.4,0,1,0.376407,-90,5
5.5,0,1,0.956003,-90,5
5.6,0,1,1.50444,-90,5
5.7,0,1,2.02368,-90,5
5.8,0,1,2.51559,-90,5
5.9,0,1,2.98176,-90,5
6,0,1,3.42385,-90,5
6.1,0,1,3.84328,-90,5
6.2,0,1,3.90052,-90,5
6.3,0,1,3.48417,-90,5
6.4,0,1,3.04536,-90,5
6.5,0,1,2.58263,-90,5
6.6,0,1,2.09446,-90,5
6.7,0,1,1.57918,-90,5
6.8,0,1,1.03496,-90,5
6.9,0,1,0.459874,-90,5
7,0,1,-0.148205,-90,5
7.1,0,1,-0.791565,-90,5
7.2,0,1,-1.47269,-90,5
7.3,0,1,-2.19431,-90,5
7.4,0,8,-1.39256,-90,4
7.5,0,8,-0.562915,-90,4
7.6,0,8,0.279028,-90,4
7.7,0,8,1.13285,-90,4
7.8,0,8,1.99801,-90,4
7.9,0,8,2.87382,-90,4
8,0,8,3.75943,-90,4
8.1,0,8,4.65381,-90,4
